driver_id,total_fare,average_distance
7,206.91,35.47
29,250.07,11.704999999999998
73,313.79,21.326666666666668
34,240.89000000000001,7.749999999999999
85,237.7,9.833333333333334
35,272.01,23.2925
16,295.73999999999995,19.8
68,113.81,4.73
41,210.68,14.665000000000001
40,78.11,39.725
44,132.72,13.53
82,111.64999999999999,25.96
58,57.76,18.03
81,164.31,14.625
33,118.27,22.08
9,129.41,10.3
32,18.73,32.19
36,46.56,23.105
49,192.98000000000002,18.994999999999997
63,169.06,10.58
12,194.14,8.82
83,199.94,28.936666666666667
2,310.13,33.31333333333333
57,152.47,38.21
