driver_id,total_fare,average_distance
51,663.1500000000001,28.374000000000002
54,389.94,34.34
30,187.44,40.004999999999995
8,329.15,39.0675
22,372.13,21.974
100,210.42,37.85
18,470.94,30.350000000000005
70,136.95,36.04
27,558.17,26.6725
23,301.83,18.08
55,241.55,23.713333333333335
67,455.41999999999996,22.157999999999998
10,511.62,20.103333333333335
37,221.39,23.07
49,447.49000000000007,16.819999999999997
4,680.41,28.77444444444445
72,130.93,7.06
76,712.6700000000001,30.5
2,600.4699999999999,29.556249999999995
